,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
124,w99390139,1249.1388426542283,ab,101272.3942615666,112524.88251285178,126590.49282695825,r2,-167155.910708442,-563107.8975729459,-395951.98686450394,0.0928663828498012,-316.9799651919932
125,w99390141,112.67489476799965,other,7161.259483685899,7956.954981873221,8951.574354607374,nr1,-11999.502419906723,-92552.65831432579,-80553.15589441906,0.10088023314648455,-714.9166285913111
126,w99758761,171.36210507287177,trade,18702.739494504167,20780.821660560185,23378.424368130207,nr1,-31338.561091725307,-186486.47079935737,-155147.90970763206,0.10088023314648455,-905.3805077946223
127,w99758765,309.03573338240386,trade,17633.22369336,19592.4707704,22041.529616699998,nr1,-29546.466073636057,-166968.09947836297,-137421.63340472692,0.10088023314648455,-444.67878164328664
128,w99758770,601.7205038767308,mfh,67803.20632134694,75336.89591260771,84754.00790168367,r2,-111913.09126477658,-359870.0017725201,-247956.91050774348,0.0928663828498012,-412.07987580649274
129,w99758771,976.6668764967471,mfh,93790.2658837786,104211.40653753177,117237.83235472324,r2,-154806.22753815606,-438963.34232762724,-284157.11478947115,0.0928663828498012,-290.94578881258656
130,w99758774,197.5460334163159,ab,21548.287941595398,23942.54215732822,26935.359926994246,r1,-38637.43669162315,-175722.64145460958,-137085.20476298642,0.10088425840893965,-693.9405585233287
131,w99758775,265.071225726977,sfh,27414.764697100116,30460.849663444573,34268.45587137514,r1,-49156.39879469363,-197883.35443444003,-148726.9556397464,0.10088425840893965,-561.082989041349
132,w99758777,337.6781565959565,ab,38785.81336494016,43095.34818326684,48482.26670617519,r1,-69545.40483600175,-272546.7295774411,-203001.32474143937,0.10088425840893965,-601.1680672147752
133,w99758783,333.3155570875853,th,46165.858494498185,51295.3983272202,57707.32311812273,r1,-82778.2903091995,-78040.15965343014,4738.130655769361,0.10088425840893965,14.215150043309626
